time, x, xd
3.959000, 1.982692, 6.515267
3.970000, 2.053816, 6.406587
3.981000, 2.123745, 6.297907
3.992000, 2.192479, 6.189227
4.002000, 2.253927, 6.090427
4.012000, 2.314386, 5.991627
4.022000, 2.373858, 5.892827
4.032000, 2.432342, 5.794027
4.042000, 2.489837, 5.695227
4.052000, 2.546345, 5.596427
4.062000, 2.601865, 5.497627
4.072000, 2.656396, 5.398827
4.082000, 2.709940, 5.300027
4.092000, 2.762496, 5.201227
4.102000, 2.814063, 5.102427
4.112000, 2.864643, 5.003627
4.122000, 2.914235, 4.904827
4.132000, 2.962838, 4.806027
4.142000, 3.010454, 4.707227
4.152000, 3.057082, 4.608427
4.162000, 3.102721, 4.509627
4.172000, 3.147373, 4.410827
4.182000, 3.191037, 4.312027
4.192000, 3.233712, 4.213227
4.202000, 3.275400, 4.114427
4.212000, 3.316100, 4.015627
4.222000, 3.355811, 3.916827
4.232000, 3.394535, 3.818027
4.242000, 3.432271, 3.719227
4.252000, 3.469018, 3.620427
4.262000, 3.504778, 3.521627
4.272000, 3.539550, 3.422827
4.282000, 3.573333, 3.324027
4.292000, 3.606129, 3.225227
4.302000, 3.637937, 3.126427
4.312000, 3.668756, 3.027627
4.322000, 3.698588, 2.928827
4.332000, 3.727432, 2.830027
4.342000, 3.755288, 2.731227
4.352000, 3.782155, 2.632427
4.362000, 3.808035, 2.533627
4.372000, 3.832927, 2.434827
4.382000, 3.856830, 2.336027
4.392000, 3.879746, 2.237227
4.402000, 3.901674, 2.138427
4.412000, 3.922613, 2.039627
4.422000, 3.942565, 1.940827
4.432000, 3.961529, 1.842027
4.442000, 3.979504, 1.743227
4.452000, 3.996492, 1.644427
4.462000, 4.012492, 1.545627
4.472000, 4.027503, 1.446827
4.482000, 4.041527, 1.348027
4.492000, 4.054563, 1.249227
4.502000, 4.066610, 1.150427
4.512000, 4.077670, 1.051627
4.522000, 4.087742, 0.952827
4.532000, 4.096825, 0.854027
4.542000, 4.104921, 0.755227
4.552000, 4.112029, 0.656427
4.562000, 4.118148, 0.557627
4.572000, 4.123280, 0.458827
4.582000, 4.127424, 0.360027
4.592000, 4.130579, 0.261227
4.602000, 4.132747, 0.162427
4.612000, 4.133927, 0.063627
4.622000, 4.134118, -0.035173
4.632000, 4.133322, -0.133973
4.642000, 4.131538, -0.232773
4.652000, 4.128765, -0.331573
4.662000, 4.125005, -0.430373
4.672000, 4.120257, -0.529173
4.682000, 4.114520, -0.627973
4.692000, 4.107796, -0.726773
4.702000, 4.100084, -0.825573
4.712000, 4.091383, -0.924373
4.722000, 4.081695, -1.023173
4.732000, 4.071019, -1.121973
4.742000, 4.059354, -1.220773
4.752000, 4.046702, -1.319573
4.762000, 4.033062, -1.418373
4.772000, 4.018433, -1.517173
4.782000, 4.002817, -1.615973
4.792000, 3.986213, -1.714773
4.802000, 3.968620, -1.813573
4.812000, 3.950040, -1.912373
4.822000, 3.930472, -2.011173
4.832000, 3.909915, -2.109973
4.842000, 3.888371, -2.208773
4.852000, 3.865839, -2.307573
4.862000, 3.842318, -2.406373
4.872000, 3.817810, -2.505173
4.882000, 3.792314, -2.603973
4.892000, 3.765829, -2.702773
4.902000, 3.738357, -2.801573
4.912000, 3.709897, -2.900373
4.922000, 3.680448, -2.999173
4.932000, 3.650012, -3.097973
4.942000, 3.618588, -3.196773
4.952000, 3.586176, -3.295573
